population,unemployed,shape,year,district,districtNumber,foreigners,births
51320.1,1769.3,gesamt,2014,Ludwigsvorstadt-Isarvorstadt,10,15778,597
51320.1,1523.8,gesamt,2014,Ludwigsvorstadt-Isarvorstadt,10,15778,597
49434.8,1769.3,gesamt,2014,Hadern,2,15778,452
49434.8,1523.8,gesamt,2014,Hadern,2,15778,452
60261.1,1482,gesamt,2014,Au-Haidhausen,5,14225,861
90468.6,2577,gesamt,2014,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,21777,938
67518.7,2265,gesamt,2014,Trudering-Riem,15,13747,771
29874.7,1313,gesamt,2014,Schwanthalerhöhe,8,10230,370
55910.8,2385.8,gesamt,2014,Sendling - Westpark,7,15354,606
52061.6,2057.3,gesamt,2014,Obergiesing - Fasangarten,17,15858,608
52186.8,1728.8,gesamt,2014,Untergiesing - Harlaching,18,11839,581
52226.7,2510.5,gesamt,2014,Moosach,1,5371,564
52226.7,299.5,gesamt,2014,Moosach,1,5371,564
20647,2510.5,gesamt,2014,Altstadt-Lehel,1,5371,214
20647,299.5,gesamt,2014,Altstadt-Lehel,1,5371,214
66527.2,1358.3,gesamt,2014,Schwabing-West,4,14959,807
74200.4,3968.8,gesamt,2014,Milbertshofen - Am Hart,11,29253,809
109031.8,5880,gesamt,2014,Ramersdorf - Perlach,16,34699,1102
52226.7,2510.5,gesamt,2014,Moosach,1,15606,564
52226.7,299.5,gesamt,2014,Moosach,1,15606,564
20647,2510.5,gesamt,2014,Altstadt-Lehel,1,15606,214
20647,299.5,gesamt,2014,Altstadt-Lehel,1,15606,214
42613.6,1554.5,gesamt,2014,Aubing - Lochhausen - Langwied,22,9996,414
52026.5,1148.5,gesamt,2014,Maxvorstadt,3,13671,540
31081.9,848.3,gesamt,2014,Allach-Untermenzing,23,6116,339
96757.2,2683.3,gesamt,2014,Neuhausen-Nymphenburg,9,23309,1243
51320.1,1769.3,gesamt,2014,Ludwigsvorstadt-Isarvorstadt,10,12587,597
51320.1,1523.8,gesamt,2014,Ludwigsvorstadt-Isarvorstadt,10,12587,597
49434.8,1769.3,gesamt,2014,Hadern,2,12587,452
49434.8,1523.8,gesamt,2014,Hadern,2,12587,452
83088.6,1757.8,gesamt,2014,Bogenhausen,13,18286,891
71401.1,2076.5,gesamt,2014,Pasing,21,14754,757
43516.1,2247,gesamt,2014,Berg am Laim,14,13141,511
40274.5,1653.5,gesamt,2014,Sendling,6,10810,493
59889.6,2768.8,gesamt,2014,Feldmoching-Hasenbergl,24,18347,623
71616.4,2151.8,gesamt,2014,Schwabing - Freimann,12,19608,777
67787.3,1413.5,gesamt,2015,Schwabing-West,4,15781,866
40632.8,1696.3,gesamt,2015,Sendling,6,11142,528
75038.8,4133.3,gesamt,2015,Milbertshofen - Am Hart,11,30362,818
52703.5,1671,gesamt,2015,Untergiesing - Harlaching,18,12929,557
53108.8,2534.5,gesamt,2015,Moosach,1,5579,612
53108.8,300,gesamt,2015,Moosach,1,5579,612
20969.3,2534.5,gesamt,2015,Altstadt-Lehel,1,5579,263
20969.3,300,gesamt,2015,Altstadt-Lehel,1,5579,263
53231.2,1752,gesamt,2015,Ludwigsvorstadt-Isarvorstadt,10,17138,646
53231.2,1580.8,gesamt,2015,Ludwigsvorstadt-Isarvorstadt,10,17138,646
49940.7,1752,gesamt,2015,Hadern,2,17138,452
49940.7,1580.8,gesamt,2015,Hadern,2,17138,452
30198.9,1261.8,gesamt,2015,Schwanthalerhöhe,8,10492,377
57496.3,2508.8,gesamt,2015,Sendling - Westpark,7,16625,648
53780.9,2108.3,gesamt,2015,Obergiesing - Fasangarten,17,16823,650
44509.1,2270.3,gesamt,2015,Berg am Laim,14,14044,515
98198,2721.3,gesamt,2015,Neuhausen-Nymphenburg,9,24264,1215
53108.8,2534.5,gesamt,2015,Moosach,1,16120,612
53108.8,300,gesamt,2015,Moosach,1,16120,612
20969.3,2534.5,gesamt,2015,Altstadt-Lehel,1,16120,263
20969.3,300,gesamt,2015,Altstadt-Lehel,1,16120,263
31584.7,893,gesamt,2015,Allach-Untermenzing,23,6688,351
43042.3,1567,gesamt,2015,Aubing - Lochhausen - Langwied,22,10640,496
73431.4,2345.8,gesamt,2015,Schwabing - Freimann,12,22068,777
92552.1,2674.8,gesamt,2015,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,19,23464,1089
